file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aawix\xondn\sxvyk\oumcb\wzybk\Class000596.java,generated.aawix.xondn.sxvyk.oumcb.wzybk.Class000596,method009/1[helpers.Context],false,833,5,13,23,59,4,10,1,23,0,0,0,0,1,2,7,11,13,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aawix\xondn\sxvyk\oumcb\wzybk\Class000596.java,generated.aawix.xondn.sxvyk.oumcb.wzybk.Class000596,method002/1[helpers.Context],false,204,5,13,23,61,4,11,1,23,0,0,0,0,1,2,7,12,14,0,2,0,0,0,37,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aawix\xondn\sxvyk\oumcb\wzybk\Class000596.java,generated.aawix.xondn.sxvyk.oumcb.wzybk.Class000596,method007/1[helpers.Context],false,651,5,14,24,62,4,11,1,24,0,0,1,0,1,2,7,15,16,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abefz\kibou\zriie\rssso\mfyyv\Class001140.java,generated.abefz.kibou.zriie.rssso.mfyyv.Class001140,method009/1[helpers.Context],false,840,5,14,24,62,4,11,1,24,0,0,1,0,1,2,7,16,16,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abefz\kibou\zriie\rssso\mfyyv\Class001140.java,generated.abefz.kibou.zriie.rssso.mfyyv.Class001140,method005/1[helpers.Context],false,472,5,13,23,60,4,11,1,23,0,0,0,0,1,2,9,12,14,0,2,0,0,0,41,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abefz\kibou\zriie\rssso\mfyyv\Class001140.java,generated.abefz.kibou.zriie.rssso.mfyyv.Class001140,method000/1[helpers.Context],false,21,5,13,23,60,4,11,1,23,0,0,0,0,1,2,9,12,14,0,2,0,0,0,41,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abefz\kibou\zriie\rssso\mfyyv\Class001140.java,generated.abefz.kibou.zriie.rssso.mfyyv.Class001140,method004/1[helpers.Context],false,380,5,14,24,62,4,11,1,24,0,0,1,0,1,2,7,15,16,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abefz\kibou\zriie\rssso\mfyyv\Class001140.java,generated.abefz.kibou.zriie.rssso.mfyyv.Class001140,method002/1[helpers.Context],false,201,5,13,23,61,4,11,1,23,0,0,0,0,1,2,8,11,14,0,2,0,0,0,36,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abefz\kibou\zriie\rssso\mfyyv\Class001140.java,generated.abefz.kibou.zriie.rssso.mfyyv.Class001140,method008/1[helpers.Context],false,745,5,13,23,63,4,13,1,23,0,0,0,0,1,2,12,12,16,0,2,0,0,0,41,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abefz\kibou\zriie\rssso\mfyyv\Class001140.java,generated.abefz.kibou.zriie.rssso.mfyyv.Class001140,method001/1[helpers.Context],false,111,5,13,23,60,4,11,1,23,0,0,0,0,1,2,9,10,14,0,2,0,0,0,39,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abefz\kibou\zriie\rssso\mfyyv\Class001140.java,generated.abefz.kibou.zriie.rssso.mfyyv.Class001140,method007/1[helpers.Context],false,654,5,13,23,61,4,11,1,23,0,0,0,0,1,2,7,11,14,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abefz\kibou\zriie\rssso\mfyyv\Class001140.java,generated.abefz.kibou.zriie.rssso.mfyyv.Class001140,method003/1[helpers.Context],false,292,5,13,23,59,4,10,1,23,0,0,0,0,1,2,7,10,13,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abefz\kibou\zriie\rssso\mfyyv\Class001140.java,generated.abefz.kibou.zriie.rssso.mfyyv.Class001140,method006/1[helpers.Context],false,562,5,14,24,62,4,11,1,24,0,0,1,0,1,2,8,15,16,0,2,0,0,0,34,9,3,false
